OBJECTID,Walkscore,POI,households,District,Population,2024MediumHouseholdIncome,2024PerCapitaIncome,POINT_X,POINT_Y
152,11.7,8,712,2,1762,195353,101326,2246348.211,1372327.324
153,2,7,23,9,80,45473,26652,2191765.243,1376437.78
154,16.9,32,637,9,1379,34322,20193,2196511.589,1376437.78
155,20.4,28,307,9,701,28030,18043,2201257.934,1376437.78
156,13.6,20,690,9,1849,32589,17214,2206004.279,1376437.78
157,11.5,16,772,9,1951,44786,31467,2210750.624,1376437.78
158,5.9,11,189,9,466,130128,61250,2215496.969,1376437.78
159,38,80,3515,9,5365,94481,73963,2220243.314,1376437.78
160,52.3,63,3584,8,8729,70357,43679,2224989.659,1376437.78
161,100,184,12760,2,18690,123202,110381,2229736.004,1376437.78
162,30,54,1630,2,3092,143206,102249,2234482.349,1376437.78
163,28.2,55,2083,6,4929,144275,91792,2239228.694,1376437.78
164,7.7,0,949,6,2239,198810,106355,2243975.039,1376437.78
165,1.9,0,526,6,1189,200001,123961,2248721.384,1376437.78
166,3,0,850,9,2137,157612,68404,2189392.071,1380548.235
167,10.2,6,43,9,156,50000,25102,2194138.416,1380548.235
168,6.9,13,216,9,599,49130,24546,2198884.761,1380548.235
169,13.2,14,1344,9,3300,35087,21239,2203631.106,1380548.235
170,6.9,12,753,9,1695,52243,36966,2208377.451,1380548.235
171,6,9,258,9,667,70928,49586,2213123.796,1380548.235
172,17.5,45,782,9,1286,102918,96599,2217870.141,1380548.235
173,29.1,50,1651,8,2756,124786,99800,2222616.486,1380548.235
174,44.7,46,2777,3,4524,95932,94168,2227362.831,1380548.235
175,19.5,24,1251,6,2578,147920,102407,2232109.176,1380548.235
176,20.7,29,1565,6,3655,167538,104797,2236855.521,1380548.235
177,22.3,31,1672,6,3928,162989,92612,2241601.866,1380548.235
178,5.8,7,859,6,3102,131476,64157,2246348.211,1380548.235
179,3.3,10,317,6,3965,157032,24616,2251094.556,1380548.235
180,3.6,2,665,9,1538,123619,70837,2196511.589,1384658.69
181,12.6,26,777,9,1883,122190,62245,2201257.934,1384658.69
182,13.3,31,895,9,2125,75479,54312,2206004.279,1384658.69
183,6.4,1,566,9,1598,200001,93244,2210750.624,1384658.69
