OBJECTID,OBJECTID_1,WalkScore_FinalWeighted,landuseMix,Intersections,POI,Sidewalks,householdtotals_TOTHH_CY,District,HistoricalPopulation_TOTPOP_CY,householdincome_MEDHINC_CY,householdincome_PCI_CY,householdincome_GINI_CY,educationalattainment_BACHDEG_CY,sports_MP33006a_B,sports_MP33030a_B,urbanicity_UPOP01,urbanicity_UPOP04,urbanicity_UPOP08,crime_CRMCYTOTC,transportation_X6001_X,Policy_MEDVAL_CY,ORIG_FID,POINT_X,POINT_Y
143,143,18.1,14,140,38,41,927,9,2437,29666,25360,54.7,347,125,489,0,2118,0,201,6404636,263445,143,2203631.106,1372327.324
144,144,13.7,15,90,25,54,769,9,2029,38911,21877,46.1,221,98,339,0,2027,0,201,5003882,220000,144,2208377.451,1372327.324
145,145,20.9,31,110,49,99,608,9,1514,39080,23725,51,305,74,268,0,1422,0,207,4215634,235156,145,2213123.796,1372327.324
146,146,15.1,37,89,19,125,443,9,3613,46999,12581,48.9,304,65,238,0,3154,0,159,3259423,131034,146,2217870.141,1372327.324
147,147,49.3,118,334,84,273,1706,3,4236,48087,25453,44.1,460,472,1113,1882,1262,0,191,10990209,386792,147,2222616.486,1372327.324
148,148,53.4,28,324,59,500,1017,2,6761,51642,19447,51.2,467,833,1858,4054,2701,0,187,9534287,498718,148,2227362.831,1372327.324
149,149,66.6,36,234,92,274,7419,2,11529,85052,80336,41.4,4239,1646,3237,11529,0,0,237,90642016,528418,149,2232109.176,1372327.324
150,150,45.3,72,134,91,139,4484,2,7160,106117,89673,36.5,2571,1009,2050,7160,0,0,208,62808779,669492,150,2236855.521,1372327.324
151,151,40.6,39,183,74,185,2812,2,5015,102868,91681,38.3,1762,703,1577,4033,162,0,176,41798606,708059,151,2241601.866,1372327.324
152,152,11.7,11,62,8,103,712,2,1762,195353,101326,22.9,453,207,536,0,1762,0,64,15319511,693277,152,2246348.211,1372327.324
153,153,2,5,10,7,5,23,9,80,45473,26652,51.3,7,4,13,0,80,0,220,183466,260714,153,2191765.243,1376437.78
154,154,16.9,25,119,32,76,637,9,1379,34322,20193,49.7,197,70,286,0,1357,0,213,3307363,207216,154,2196511.589,1376437.78
155,155,20.4,22,142,28,164,307,9,701,28030,18043,50.9,101,35,138,0,283,0,282,1430851,190833,155,2201257.934,1376437.78
156,156,13.6,22,108,20,61,690,9,1849,32589,17214,47.8,183,84,293,0,1478,0,229,3402716,177869,156,2206004.279,1376437.78
157,157,11.5,17,93,16,41,772,9,1951,44786,31467,51.7,389,132,406,0,1929,0,223,6520789,438830,157,2210750.624,1376437.78
158,158,5.9,24,32,11,38,189,9,466,130128,61250,33.5,104,42,122,0,460,0,216,2984573,488333,158,2215496.969,1376437.78
159,159,38,47,77,80,148,3515,9,5365,94481,73963,35.6,1487,751,1534,4225,763,0,278,41972105,446296,159,2220243.314,1376437.78
160,160,52.3,53,227,63,367,3584,8,8729,70357,43679,45.2,1751,1173,2507,5099,1156,0,202,37427770,371875,160,2224989.659,1376437.78
161,161,100,22,194,184,256,12760,2,18690,123202,110381,32.4,6683,2790,5501,17796,53,0,297,205178346,469028,161,2229736.004,1376437.78
162,162,30,23,83,54,211,1630,2,3092,143206,102249,29,1004,410,937,1951,0,0,199,30397229,806021,162,2234482.349,1376437.78
163,163,28.2,14,120,55,112,2083,6,4929,144275,91792,32.6,1558,597,1482,2003,408,0,132,38516059,855376,163,2239228.694,1376437.78
164,164,7.7,6,0,0,89,949,6,2239,198810,106355,28,548,291,744,171,1989,0,61,20167523,761687,164,2243975.039,1376437.78
165,165,1.9,3,0,0,4,526,6,1189,200001,123961,16.7,308,141,377,8,1176,0,54,13368131,863938,165,2248721.384,1376437.78
166,166,3,1,0,0,4,850,9,2137,157612,68404,27.6,340,190,540,0,2137,0,132,14790373,401151,166,2189392.071,1380548.235
167,167,10.2,8,42,6,142,43,9,156,50000,25102,43.8,19,9,32,0,156,0,319,305866,350000,167,2194138.416,1380548.235
168,168,6.9,15,53,13,32,216,9,599,49130,24546,41.9,65,35,119,0,599,0,319,1494589,346154,168,2198884.761,1380548.235
169,169,13.2,20,22,14,99,1344,9,3300,35087,21239,49.3,452,158,513,0,3298,0,243,7780548,261792,169,2203631.106,1380548.235
170,170,6.9,9,28,12,20,753,9,1695,52243,36966,50.2,209,132,368,0,1671,0,211,6987345,403448,170,2208377.451,1380548.235
171,171,6,15,36,9,40,258,9,667,70928,49586,42.5,105,62,178,0,665,0,231,2978421,433750,171,2213123.796,1380548.235
172,172,17.5,18,27,45,103,782,9,1286,102918,96599,34.8,580,188,368,1231,55,0,368,11661184,470082,172,2217870.141,1380548.235
173,173,29.1,34,130,50,170,1651,8,2756,124786,99800,31.4,857,399,800,1110,39,0,292,25813397,622283,173,2222616.486,1380548.235
174,174,44.7,32,389,46,208,2777,3,4524,95932,94168,38.5,1644,659,1378,3669,48,0,278,39736106,487607,174,2227362.831,1380548.235
175,175,19.5,15,125,24,111,1251,6,2578,147920,102407,29.8,584,331,849,483,726,0,186,22515305,1280788,175,2232109.176,1380548.235
176,176,20.7,20,72,29,135,1565,6,3655,167538,104797,27.1,1077,462,1108,2349,1306,0,116,31825575,858030,176,2236855.521,1380548.235
177,177,22.3,13,104,31,127,1672,6,3928,162989,92612,28.6,1031,473,1127,231,2577,0,85,32445567,860969,177,2241601.866,1380548.235
178,178,5.8,5,0,7,32,859,6,3102,131476,64157,31.8,691,425,933,1371,1730,0,69,16457757,739844,178,2246348.211,1380548.235
179,179,3.3,5,11,10,0,317,6,3965,157032,24616,30.1,757,501,1141,1420,1496,0,39,5502337,708750,179,2251094.556,1380548.235
180,180,3.6,2,8,2,14,665,9,1538,123619,70837,27.2,525,129,394,0,1533,0,160,10992099,381538,180,2196511.589,1384658.69
181,181,12.6,19,83,26,33,777,9,1883,122190,62245,34.7,616,137,433,0,1883,0,209,11598551,471579,181,2201257.934,1384658.69
182,182,13.3,21,51,31,46,895,9,2125,75479,54312,44.7,265,136,393,0,2097,0,208,13506039,375342,182,2206004.279,1384658.69
183,183,6.4,16,50,1,45,566,9,1598,200001,93244,23,507,130,388,0,583,0,201,12850060,501323,183,2210750.624,1384658.69
184,184,18.5,26,38,42,118,864,9,1479,123297,82520,28.8,562,183,406,561,912,0,335,12777056,476923,184,2215496.969,1384658.69
185,185,35.3,43,99,59,181,3138,8,5212,96807,80880,36.2,2092,712,1488,2912,629,0,211,40999081,283824,185,2220243.314,1384658.69
186,186,20.2,17,119,9,119,2207,8,3878,101322,91390,36.3,1701,527,1125,2568,1015,0,135,33172353,666033,186,2224989.659,1384658.69
187,187,25,23,133,43,113,1653,8,3583,151051,108259,33.3,1330,475,1083,2790,204,0,169,33764142,1045276,187,2229736.004,1384658.69
188,188,32.1,32,200,54,101,2493,6,4341,124397,98782,30.6,1634,603,1255,2778,75,0,192,41964144,728198,188,2234482.349,1384658.69
189,189,8.7,16,38,12,40,836,6,1933,154762,96010,34.7,574,242,574,45,829,0,126,15392030,918548,189,2239228.694,1384658.69
190,190,9.5,10,16,8,62,1230,6,2567,119175,72112,34.1,982,312,734,131,1844,0,92,17397710,597500,190,2243975.039,1384658.69
191,191,6.7,4,0,5,12,1506,6,2695,64125,51744,45.7,468,354,801,1277,1386,0,80,17507822,594716,191,2248721.384,1384658.69
192,192,1,4,0,0,3,278,9,651,85452,56178,32.3,82,61,178,0,651,0,197,3370396,526786,192,2198884.761,1388769.146
